Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,B365H,B365D,B365A
BRA,15/04/2023,20:00,America MG,Fluminense,0,3,A,,,,,,
BRA,15/04/2023,20:00,Palmeiras,Cuiaba,2,1,H,,,,,,
BRA,15/04/2023,22:30,Athletico-PR,Goias,2,0,H,,,,,,
BRA,15/04/2023,22:30,Botafogo RJ,Sao Paulo,2,1,H,,,,,,
BRA,15/04/2023,22:30,Bragantino,Bahia,2,1,H,,,,,,
BRA,15/04/2023,22:30,Fortaleza,Internacional,1,1,D,,,,,,
BRA,16/04/2023,01:00,Atletico-MG,Vasco,1,2,A,,,,,,
BRA,16/04/2023,20:00,Corinthians,Cruzeiro,2,1,H,,,,,,
BRA,16/04/2023,20:00,Flamengo RJ,Coritiba,3,0,H,,,,,,
BRA,16/04/2023,22:30,Gremio,Santos,1,0,H,,,,,,
BRA,22/04/2023,20:00,Fluminense,Athletico-PR,2,0,H,,,,,,
BRA,22/04/2023,22:30,Cuiaba,Bragantino,1,1,D,,,,,,
BRA,22/04/2023,22:30,Sao Paulo,America MG,3,0,H,,,,,,
BRA,23/04/2023,01:00,Cruzeiro,Gremio,1,0,H,,,,,,
BRA,23/04/2023,15:00,Internacional,Flamengo RJ,2,1,H,,,,,,
BRA,23/04/2023,20:00,Santos,Atletico-MG,0,0,D,,,,,,
BRA,23/04/2023,20:00,Vasco,Palmeiras,2,2,D,,,,,,
BRA,23/04/2023,22:30,Coritiba,Fortaleza,0,3,A,,,,,,
BRA,23/04/2023,23:00,Goias,Corinthians,3,1,H,,,,,,
BRA,25/04/2023,00:00,Bahia,Botafogo RJ,1,2,A,,,,,,
BRA,29/04/2023,20:30,Coritiba,Sao Paulo,1,1,D,,,,,,
BRA,29/04/2023,20:30,Fortaleza,Fluminense,4,2,H,,,,,,
BRA,29/04/2023,22:30,Bragantino,Cruzeiro,0,3,A,,,,,,
BRA,29/04/2023,22:30,Palmeiras,Corinthians,2,1,H,,,,,,
BRA,29/04/2023,22:30,Santos,America MG,3,2,H,,,,,,
BRA,30/04/2023,01:00,Atletico-MG,Athletico-PR,2,1,H,,,,,,
BRA,30/04/2023,20:00,Flamengo RJ,Botafogo RJ,2,3,A,,,,,,
BRA,30/04/2023,22:30,Cuiaba,Gremio,1,2,A,,,,,,
BRA,30/04/2023,22:30,Internacional,Goias,1,0,H,,,,,,
BRA,02/05/2023,00:00,Vasco,Bahia,0,1,A,,,,,,
BRA,06/05/2023,20:00,Cruzeiro,Santos,2,1,H,,,,,,
BRA,07/05/2023,01:00,Fluminense,Vasco,1,1,D,,,,,,
BRA,07/05/2023,15:00,America MG,Cuiaba,1,2,A,,,,,,
BRA,07/05/2023,20:00,Athletico-PR,Flamengo RJ,2,1,H,,,,,,
BRA,07/05/2023,20:00,Bahia,Coritiba,3,1,H,,,,,,
BRA,07/05/2023,20:00,Sao Paulo,Internacional,2,0,H,,,,,,
BRA,07/05/2023,22:30,Botafogo RJ,Atletico-MG,2,0,H,,,,,,
BRA,07/05/2023,22:30,Goias,Palmeiras,0,5,A,,,,,,
BRA,07/05/2023,22:30,Gremio,Bragantino,3,3,D,,,,,,
BRA,09/05/2023,00:00,Corinthians,Fortaleza,1,1,D,,,,,,
BRA,10/05/2023,23:00,Bragantino,America MG,2,2,D,,,,,,
BRA,10/05/2023,23:00,Internacional,Athletico-PR,0,2,A,,,,,,
BRA,10/05/2023,23:00,Santos,Bahia,3,0,H,,,,,,
BRA,11/05/2023,00:00,Cuiaba,Atletico-MG,0,4,A,,,,,,
BRA,11/05/2023,00:00,Flamengo RJ,Goias,2,0,H,,,,,,
BRA,11/05/2023,01:30,Cruzeiro,Fluminense,0,2,A,,,,,,
BRA,11/05/2023,01:30,Palmeiras,Gremio,4,1,H,,,,,,
BRA,11/05/2023,23:00,Coritiba,Vasco,1,1,D,,,,,,
BRA,11/05/2023,23:30,Botafogo RJ,Corinthians,3,0,H,,,,,,
BRA,12/05/2023,00:00,Fortaleza,Sao Paulo,0,0,D,,,,,,
BRA,13/05/2023,20:00,Bahia,Flamengo RJ,2,3,A,,,,,,
BRA,13/05/2023,22:30,Fluminense,Cuiaba,2,0,H,,,,,,
BRA,13/05/2023,22:30,Palmeiras,Bragantino,1,1,D,,,,,,
BRA,14/05/2023,01:00,Atletico-MG,Internacional,2,0,H,,,,,,
BRA,14/05/2023,20:00,Corinthians,Sao Paulo,1,1,D,,,,,,
BRA,14/05/2023,20:00,Gremio,Fortaleza,0,0,D,,,,,,
BRA,14/05/2023,20:00,Vasco,Santos,0,1,A,,,,,,
BRA,14/05/2023,22:30,America MG,Cruzeiro,0,4,A,,,,,,
BRA,14/05/2023,22:30,Athletico-PR,Coritiba,3,2,H,,,,,,
BRA,14/05/2023,22:30,Goias,Botafogo RJ,2,1,H,,,,,,
BRA,20/05/2023,20:00,Bahia,Goias,1,1,D,,,,,,
BRA,20/05/2023,22:30,America MG,Fortaleza,2,1,H,,,,,,
BRA,20/05/2023,22:30,Botafogo RJ,Fluminense,1,0,H,,,,,,
BRA,20/05/2023,22:30,Bragantino,Athletico-PR,2,0,H,,,,,,
BRA,20/05/2023,22:30,Coritiba,Atletico-MG,1,2,A,,,,,,
BRA,20/05/2023,22:30,Sao Paulo,Vasco,4,2,H,,,,,,
BRA,21/05/2023,01:00,Santos,Palmeiras,0,0,D,,,,,,
BRA,21/05/2023,20:00,Flamengo RJ,Corinthians,1,0,H,,,,,,
BRA,21/05/2023,22:30,Gremio,Internacional,3,1,H,,,,,,
BRA,23/05/2023,00:00,Cruzeiro,Cuiaba,0,1,A,,,,,,
BRA,27/05/2023,20:00,Athletico-PR,Gremio,1,2,A,,,,,,
BRA,27/05/2023,20:00,Fortaleza,Vasco,2,0,H,,,,,,
BRA,27/05/2023,22:30,Cuiaba,Coritiba,1,1,D,,,,,,
BRA,27/05/2023,22:30,Flamengo RJ,Cruzeiro,1,1,D,,,,,,
BRA,28/05/2023,01:00,Sao Paulo,Goias,2,1,H,,,,,,
BRA,28/05/2023,20:00,Corinthians,Fluminense,2,0,H,,,,,,
BRA,28/05/2023,20:00,Internacional,Bahia,2,0,H,,,,,,
BRA,28/05/2023,22:30,Atletico-MG,Palmeiras,1,1,D,,,,,,
BRA,28/05/2023,22:30,Bragantino,Santos,2,0,H,,,,,,
BRA,28/05/2023,23:00,Botafogo RJ,America MG,2,0,H,,,,,,
BRA,03/06/2023,20:00,Fortaleza,Bahia,0,0,D,,,,,,
BRA,03/06/2023,22:30,America MG,Corinthians,2,0,H,,,,,,
BRA,03/06/2023,22:30,Athletico-PR,Botafogo RJ,1,0,H,,,,,,
BRA,03/06/2023,22:30,Cruzeiro,Atletico-MG,0,1,A,,,,,,
BRA,04/06/2023,01:00,Santos,Internacional,1,1,D,,,,,,
BRA,04/06/2023,20:00,Fluminense,Bragantino,2,1,H,,,,,,
BRA,04/06/2023,20:00,Gremio,Sao Paulo,2,1,H,,,,,,
BRA,04/06/2023,22:30,Goias,Cuiaba,0,1,A,,,,,,
BRA,04/06/2023,22:30,Palmeiras,Coritiba,3,1,H,,,,,,
BRA,06/06/2023,00:00,Vasco,Flamengo RJ,1,4,A,,,,,,
BRA,10/06/2023,20:00,Coritiba,Santos,0,0,D,,,,,,
BRA,10/06/2023,22:30,Atletico-MG,Bragantino,1,1,D,,,,,,
BRA,10/06/2023,22:30,Bahia,Cruzeiro,2,2,D,,,,,,
BRA,10/06/2023,22:30,Corinthians,Cuiaba,1,1,D,,,,,,
BRA,11/06/2023,01:00,Botafogo RJ,Fortaleza,2,0,H,,,,,,
BRA,11/06/2023,15:00,America MG,Athletico-PR,2,2,D,,,,,,
BRA,11/06/2023,20:00,Internacional,Vasco,2,1,H,,,,,,
BRA,11/06/2023,20:00,Sao Paulo,Palmeiras,0,2,A,,,,,,
BRA,11/06/2023,22:30,Flamengo RJ,Gremio,3,0,H,,,,,,
BRA,11/06/2023,22:30,Goias,Fluminense,2,2,D,,,,,,
BRA,21/06/2023,23:00,Cruzeiro,Fortaleza,0,1,A,,,,,,
BRA,21/06/2023,23:00,Sao Paulo,Athletico-PR,2,1,H,,,,,,
BRA,22/06/2023,00:00,Santos,Corinthians,0,2,A,,,,,,
BRA,22/06/2023,01:30,Bahia,Palmeiras,1,0,H,,,,,,
BRA,22/06/2023,01:30,Fluminense,Atletico-MG,1,1,D,,,,,,
BRA,22/06/2023,23:00,Gremio,America MG,3,1,H,,,,,,
BRA,23/06/2023,00:00,Coritiba,Internacional,0,1,A,,,,,,
BRA,23/06/2023,00:00,Cuiaba,Botafogo RJ,0,1,A,,,,,,
BRA,23/06/2023,00:00,Vasco,Goias,0,1,A,,,,,,
