Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,B365H,B365D,B365A
BRA,14/04/2018,20:00,Cruzeiro,Gremio,0,1,A,,,,,,
BRA,14/04/2018,23:00,Vitoria,Flamengo RJ,2,2,D,,,,,,
BRA,15/04/2018,01:00,Santos,Ceara,2,0,H,,,,,,
BRA,15/04/2018,15:00,America MG,Sport Recife,3,0,H,,,,,,
BRA,15/04/2018,20:00,Corinthians,Fluminense,2,1,H,,,,,,
BRA,15/04/2018,20:00,Internacional,Bahia,2,0,H,,,,,,
BRA,15/04/2018,20:00,Vasco,Atletico-MG,2,1,H,,,,,,
BRA,15/04/2018,23:00,Athletico-PR,Chapecoense-SC,5,1,H,,,,,,
BRA,17/04/2018,00:00,Botafogo RJ,Palmeiras,1,1,D,,,,,,
BRA,17/04/2018,00:00,Sao Paulo,Parana,1,0,H,,,,,,
BRA,21/04/2018,20:00,Bahia,Santos,1,0,H,,,,,,
BRA,21/04/2018,23:00,Flamengo RJ,America MG,2,0,H,,,,,,
BRA,22/04/2018,15:00,Parana,Corinthians,0,4,A,,,,,,
BRA,22/04/2018,20:00,Atletico-MG,Vitoria,2,1,H,,,,,,
BRA,22/04/2018,20:00,Ceara,Sao Paulo,0,0,D,,,,,,
BRA,22/04/2018,20:00,Chapecoense-SC,Vasco,1,1,D,,,,,,
BRA,22/04/2018,20:00,Fluminense,Cruzeiro,1,0,H,,,,,,
BRA,22/04/2018,20:00,Palmeiras,Internacional,1,0,H,,,,,,
BRA,22/04/2018,23:00,Gremio,Athletico-PR,0,0,D,,,,,,
BRA,24/04/2018,00:00,Sport Recife,Botafogo RJ,1,1,D,,,,,,
BRA,28/04/2018,20:00,Botafogo RJ,Gremio,2,1,H,,,,,,
BRA,29/04/2018,20:00,Atletico-MG,Corinthians,1,0,H,,,,,,
BRA,29/04/2018,20:00,Bahia,Athletico-PR,0,0,D,,,,,,
BRA,29/04/2018,20:00,Ceara,Flamengo RJ,0,3,A,,,,,,
