Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,B365H,B365D,B365A
BRA,29/03/2025,21:30,Cruzeiro,Mirassol,2,1,H,,,,,,
BRA,29/03/2025,21:30,Fortaleza,Fluminense,2,0,H,,,,,,
BRA,29/03/2025,21:30,Gremio,Atletico-MG,2,1,H,,,,,,
BRA,29/03/2025,21:30,Juventude,Vitoria,2,0,H,,,,,,
BRA,29/03/2025,21:30,Sao Paulo,Sport Recife,0,0,D,,,,,,
BRA,30/03/2025,00:00,Flamengo RJ,Internacional,1,1,D,,,,,,
BRA,30/03/2025,20:00,Palmeiras,Botafogo RJ,0,0,D,,,,,,
BRA,30/03/2025,22:30,Vasco,Santos,2,1,H,,,,,,
BRA,31/03/2025,00:00,Bahia,Corinthians,1,1,D,,,,,,
BRA,01/04/2025,00:00,Bragantino,Ceara,2,2,D,,,,,,
BRA,05/04/2025,22:30,Ceara,Gremio,2,0,H,,,,,,
BRA,05/04/2025,22:30,Corinthians,Vasco,3,0,H,,,,,,
BRA,06/04/2025,01:00,Botafogo RJ,Juventude,2,0,H,,,,,,
BRA,06/04/2025,20:00,Atletico-MG,Sao Paulo,0,0,D,,,,,,
BRA,06/04/2025,20:00,Fluminense,Bragantino,2,1,H,,,,,,
BRA,06/04/2025,22:30,Internacional,Cruzeiro,3,0,H,,,,,,
BRA,06/04/2025,22:30,Mirassol,Fortaleza,1,1,D,,,,,,
BRA,06/04/2025,22:30,Sport Recife,Palmeiras,1,2,A,,,,,,
BRA,06/04/2025,22:30,Vitoria,Flamengo RJ,1,2,A,,,,,,
BRA,07/04/2025,00:30,Santos,Bahia,2,2,D,,,,,,
BRA,12/04/2025,20:00,Bragantino,Botafogo RJ,1,0,H,,,,,,
BRA,12/04/2025,20:00,Juventude,Ceara,2,1,H,,,,,,
BRA,12/04/2025,22:30,Palmeiras,Corinthians,2,0,H,,,,,,
BRA,13/04/2025,01:00,Vasco,Sport Recife,3,1,H,,,,,,
BRA,13/04/2025,20:00,Bahia,Mirassol,1,1,D,,,,,,
BRA,13/04/2025,21:30,Gremio,Flamengo RJ,0,2,A,,,,,,
BRA,13/04/2025,21:30,Sao Paulo,Cruzeiro,1,1,D,,,,,,
BRA,13/04/2025,23:30,Fluminense,Santos,1,0,H,,,,,,
BRA,14/04/2025,00:00,Fortaleza,Internacional,0,0,D,,,,,,
BRA,14/04/2025,00:30,Atletico-MG,Vitoria,2,2,D,,,,,,
BRA,16/04/2025,01:30,Ceara,Vasco,2,1,H,,,,,,
BRA,16/04/2025,22:30,Botafogo RJ,Sao Paulo,2,2,D,,,,,,
BRA,16/04/2025,23:00,Mirassol,Gremio,4,1,H,,,,,,
BRA,16/04/2025,23:00,Sport Recife,Bragantino,0,1,A,,,,,,
BRA,16/04/2025,23:30,Corinthians,Fluminense,0,2,A,,,,,,
BRA,16/04/2025,23:30,Internacional,Palmeiras,0,1,A,,,,,,
BRA,17/04/2025,01:30,Flamengo RJ,Juventude,6,0,H,,,,,,
BRA,17/04/2025,01:30,Santos,Atletico-MG,2,0,H,,,,,,
BRA,17/04/2025,01:30,Vitoria,Fortaleza,2,1,H,,,,,,
BRA,18/04/2025,01:30,Cruzeiro,Bahia,3,0,H,,,,,,
BRA,19/04/2025,20:00,Corinthians,Sport Recife,2,1,H,,,,,,
BRA,19/04/2025,22:30,Vasco,Flamengo RJ,0,0,D,,,,,,
BRA,20/04/2025,01:00,Gremio,Internacional,1,1,D,,,,,,
BRA,20/04/2025,15:00,Juventude,Mirassol,2,2,D,,,,,,
BRA,20/04/2025,20:00,Atletico-MG,Botafogo RJ,1,0,H,,,,,,
BRA,20/04/2025,20:00,Sao Paulo,Santos,2,1,H,,,,,,
BRA,20/04/2025,22:30,Fluminense,Vitoria,1,1,D,,,,,,
BRA,20/04/2025,22:30,Fortaleza,Palmeiras,1,2,A,,,,,,
BRA,21/04/2025,00:30,Bragantino,Cruzeiro,1,0,H,,,,,,
BRA,22/04/2025,00:00,Bahia,Ceara,1,0,H,,,,,,
BRA,26/04/2025,20:00,Internacional,Juventude,3,1,H,,,,,,
BRA,26/04/2025,22:30,Ceara,Sao Paulo,1,1,D,,,,,,
BRA,26/04/2025,22:30,Mirassol,Atletico-MG,2,2,D,,,,,,
BRA,27/04/2025,00:00,Sport Recife,Fortaleza,0,0,D,,,,,,
BRA,27/04/2025,01:00,Botafogo RJ,Fluminense,2,0,H,,,,,,
BRA,27/04/2025,20:00,Flamengo RJ,Corinthians,4,0,H,,,,,,
BRA,27/04/2025,22:30,Cruzeiro,Vasco,1,0,H,,,,,,
BRA,27/04/2025,22:30,Palmeiras,Bahia,0,1,A,,,,,,
BRA,27/04/2025,22:30,Vitoria,Gremio,1,1,D,,,,,,
BRA,28/04/2025,00:30,Santos,Bragantino,1,2,A,,,,,,
BRA,03/05/2025,01:30,Sao Paulo,Fortaleza,0,0,D,,,,,,
BRA,03/05/2025,22:30,Ceara,Vitoria,1,0,H,,,,,,
BRA,03/05/2025,22:30,Corinthians,Internacional,4,2,H,,,,,,
BRA,03/05/2025,22:30,Fluminense,Sport Recife,2,1,H,,,,,,
BRA,04/05/2025,01:00,Bahia,Botafogo RJ,1,0,H,,,,,,
BRA,04/05/2025,20:00,Gremio,Santos,1,0,H,,,,,,
BRA,04/05/2025,20:00,Vasco,Palmeiras,0,1,A,,,,,,
BRA,04/05/2025,22:30,Cruzeiro,Flamengo RJ,2,1,H,,,,,,
BRA,05/05/2025,23:00,Bragantino,Mirassol,1,0,H,,,,,,
BRA,06/05/2025,00:00,Juventude,Atletico-MG,0,1,A,,,,,,
BRA,10/05/2025,20:00,Fortaleza,Juventude,5,0,H,,,,,,
BRA,10/05/2025,22:30,Gremio,Bragantino,1,1,D,,,,,,
BRA,10/05/2025,22:30,Mirassol,Corinthians,2,1,H,,,,,,
BRA,10/05/2025,22:30,Vitoria,Vasco,2,1,H,,,,,,
BRA,11/05/2025,01:00,Flamengo RJ,Bahia,1,0,H,,,,,,
BRA,11/05/2025,20:00,Sport Recife,Cruzeiro,0,4,A,,,,,,
BRA,11/05/2025,21:30,Atletico-MG,Fluminense,3,2,H,,,,,,
BRA,11/05/2025,21:30,Palmeiras,Sao Paulo,1,0,H,,,,,,
BRA,12/05/2025,00:00,Botafogo RJ,Internacional,4,0,H,,,,,,
BRA,13/05/2025,00:00,Santos,Ceara,0,0,D,,,,,,
BRA,17/05/2025,20:00,Ceara,Sport Recife,2,0,H,,,,,,
BRA,17/05/2025,22:30,Vasco,Fortaleza,3,0,H,,,,,,
BRA,18/05/2025,01:00,Sao Paulo,Gremio,2,1,H,,,,,,
BRA,18/05/2025,20:00,Bahia,Vitoria,2,1,H,,,,,,
BRA,18/05/2025,20:00,Corinthians,Santos,1,0,H,,,,,,
BRA,18/05/2025,20:00,Juventude,Fluminense,1,1,D,,,,,,
BRA,18/05/2025,22:30,Bragantino,Palmeiras,1,2,A,,,,,,
BRA,18/05/2025,22:30,Flamengo RJ,Botafogo RJ,0,0,D,,,,,,
BRA,19/05/2025,00:30,Cruzeiro,Atletico-MG,0,0,D,,,,,,
BRA,19/05/2025,00:30,Internacional,Mirassol,1,1,D,,,,,,
BRA,24/05/2025,22:30,Fluminense,Vasco,2,1,H,,,,,,
BRA,24/05/2025,22:30,Sao Paulo,Mirassol,0,2,A,,,,,,
BRA,25/05/2025,01:00,Atletico-MG,Corinthians,0,0,D,,,,,,
BRA,25/05/2025,15:00,Gremio,Bahia,1,0,H,,,,,,
BRA,25/05/2025,20:00,Palmeiras,Flamengo RJ,0,2,A,,,,,,
BRA,25/05/2025,20:00,Sport Recife,Internacional,1,1,D,,,,,,
BRA,25/05/2025,22:30,Vitoria,Santos,0,1,A,,,,,,
BRA,26/05/2025,00:30,Fortaleza,Cruzeiro,0,2,A,,,,,,
BRA,27/05/2025,00:00,Bragantino,Juventude,1,0,H,,,,,,
BRA,31/05/2025,22:30,Bahia,Sao Paulo,2,1,H,,,,,,
BRA,01/06/2025,01:00,Vasco,Bragantino,0,2,A,,,,,,
BRA,01/06/2025,15:00,Mirassol,Sport Recife,1,0,H,,,,,,
BRA,01/06/2025,20:00,Juventude,Gremio,0,2,A,,,,,,
BRA,01/06/2025,20:00,Santos,Botafogo RJ,0,1,A,,,,,,
BRA,01/06/2025,22:30,Ceara,Atletico-MG,0,1,A,,,,,,
BRA,01/06/2025,22:30,Corinthians,Vitoria,0,0,D,,,,,,
BRA,01/06/2025,22:30,Flamengo RJ,Fortaleza,5,0,H,,,,,,
BRA,01/06/2025,23:30,Cruzeiro,Palmeiras,2,1,H,,,,,,
BRA,02/06/2025,00:30,Internacional,Fluminense,0,2,A,,,,,,
BRA,05/06/2025,00:00,Botafogo RJ,Ceara,3,2,H,,,,,,
BRA,12/06/2025,23:00,Bragantino,Bahia,0,3,A,,,,,,
BRA,12/06/2025,23:00,Vitoria,Cruzeiro,0,0,D,,,,,,
BRA,12/06/2025,23:30,Fortaleza,Santos,2,3,A,,,,,,
BRA,13/06/2025,00:00,Gremio,Corinthians,1,1,D,,,,,,
BRA,13/06/2025,01:30,Atletico-MG,Internacional,2,0,H,,,,,,
BRA,13/06/2025,01:30,Sao Paulo,Vasco,1,3,A,,,,,,
BRA,12/07/2025,20:30,Flamengo RJ,Sao Paulo,2,0,H,,,,,,
BRA,12/07/2025,20:30,Internacional,Vitoria,1,0,H,,,,,,
BRA,12/07/2025,22:30,Vasco,Botafogo RJ,0,2,A,,,,,,
BRA,13/07/2025,01:00,Bahia,Atletico-MG,2,1,H,,,,,,
BRA,13/07/2025,23:00,Corinthians,Bragantino,1,2,A,,,,,,
BRA,14/07/2025,00:30,Cruzeiro,Gremio,4,1,H,,,,,,
BRA,14/07/2025,00:30,Fortaleza,Ceara,0,1,A,,,,,,
BRA,15/07/2025,00:00,Juventude,Sport Recife,2,0,H,,,,,,
BRA,16/07/2025,23:00,Palmeiras,Mirassol,1,1,D,,,,,,
BRA,16/07/2025,23:30,Ceara,Corinthians,0,1,A,,,,,,
