Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,B365H,B365D,B365A
BRA,08/08/2020,23:00,Fortaleza,Athletico-PR,0,2,A,,,,,,
BRA,08/08/2020,23:30,Coritiba,Internacional,0,1,A,,,,,,
BRA,09/08/2020,01:00,Sport Recife,Ceara,3,2,H,,,,,,
BRA,09/08/2020,20:00,Flamengo RJ,Atletico-MG,0,1,A,,,,,,
BRA,09/08/2020,20:00,Santos,Bragantino,1,1,D,,,,,,
BRA,09/08/2020,23:00,Gremio,Fluminense,1,0,H,,,,,,
BRA,12/08/2020,23:15,Athletico-PR,Goias,2,1,H,,,,,,
BRA,12/08/2020,23:15,Atletico-MG,Corinthians,3,2,H,,,,,,
BRA,12/08/2020,23:15,Bragantino,Botafogo RJ,1,1,D,,,,,,
BRA,13/08/2020,00:30,Atletico GO,Flamengo RJ,3,0,H,,,,,,
BRA,13/08/2020,00:30,Bahia,Coritiba,1,0,H,,,,,,
BRA,13/08/2020,01:30,Ceara,Gremio,1,1,D,,,,,,
BRA,13/08/2020,01:30,Fluminense,Palmeiras,1,1,D,,,,,,
BRA,13/08/2020,23:15,Sao Paulo,Fortaleza,1,0,H,,,,,,
BRA,13/08/2020,23:30,Internacional,Santos,2,0,H,,,,,,
BRA,14/08/2020,00:00,Vasco,Sport Recife,2,0,H,,,,,,
BRA,15/08/2020,23:00,Gremio,Corinthians,0,0,D,,,,,,
BRA,15/08/2020,23:30,Coritiba,Flamengo RJ,0,1,A,,,,,,
BRA,16/08/2020,01:30,Palmeiras,Goias,1,1,D,,,,,,
BRA,16/08/2020,15:00,Atletico-MG,Ceara,2,0,H,,,,,,
BRA,16/08/2020,20:00,Bahia,Bragantino,2,1,H,,,,,,
BRA,16/08/2020,20:00,Vasco,Sao Paulo,2,1,H,,,,,,
BRA,16/08/2020,22:00,Fluminense,Internacional,2,1,H,,,,,,
BRA,16/08/2020,23:00,Atletico GO,Sport Recife,1,1,D,,,,,,
BRA,16/08/2020,23:30,Fortaleza,Botafogo RJ,0,0,D,,,,,,
BRA,16/08/2020,23:45,Santos,Athletico-PR,3,1,H,,,,,,
BRA,19/08/2020,23:15,Bragantino,Fluminense,2,1,H,,,,,,
BRA,19/08/2020,23:15,Flamengo RJ,Gremio,1,1,D,,,,,,
BRA,19/08/2020,23:30,Athletico-PR,Palmeiras,0,1,A,,,,,,
BRA,20/08/2020,00:30,Goias,Fortaleza,1,3,A,,,,,,
BRA,20/08/2020,00:30,Internacional,Atletico GO,3,0,H,,,,,,
BRA,20/08/2020,01:30,Botafogo RJ,Atletico-MG,2,1,H,,,,,,
BRA,20/08/2020,01:30,Corinthians,Coritiba,3,1,H,,,,,,
BRA,20/08/2020,23:15,Sport Recife,Santos,0,1,A,,,,,,
BRA,21/08/2020,00:00,Ceara,Vasco,0,3,A,,,,,,
BRA,21/08/2020,00:00,Sao Paulo,Bahia,1,1,D,,,,,,
BRA,22/08/2020,20:00,Athletico-PR,Fluminense,0,1,A,,,,,,
BRA,22/08/2020,23:00,Internacional,Atletico-MG,1,0,H,,,,,,
BRA,23/08/2020,01:00,Goias,Atletico GO,2,0,H,,,,,,
BRA,23/08/2020,15:00,Flamengo RJ,Botafogo RJ,1,1,D,,,,,,
BRA,23/08/2020,20:00,Bragantino,Coritiba,1,2,A,,,,,,
BRA,23/08/2020,20:00,Palmeiras,Santos,2,1,H,,,,,,
BRA,23/08/2020,20:00,Vasco,Gremio,0,0,D,,,,,,
BRA,23/08/2020,23:00,Sport Recife,Sao Paulo,0,1,A,,,,,,
BRA,24/08/2020,00:00,Ceara,Bahia,2,0,H,,,,,,
BRA,26/08/2020,23:00,Sao Paulo,Athletico-PR,1,0,H,,,,,,
BRA,27/08/2020,01:30,Corinthians,Fortaleza,1,1,D,,,,,,
BRA,29/08/2020,21:00,Botafogo RJ,Internacional,0,2,A,,,,,,
BRA,29/08/2020,23:00,Bahia,Palmeiras,1,1,D,,,,,,
BRA,29/08/2020,23:00,Fluminense,Vasco,2,1,H,,,,,,
BRA,30/08/2020,01:00,Fortaleza,Bragantino,3,0,H,,,,,,
BRA,30/08/2020,15:00,Sao Paulo,Corinthians,2,1,H,,,,,,
BRA,30/08/2020,20:00,Coritiba,Sport Recife,1,0,H,,,,,,
BRA,30/08/2020,20:00,Santos,Flamengo RJ,0,1,A,,,,,,
BRA,30/08/2020,22:00,Atletico GO,Ceara,0,2,A,,,,,,
BRA,02/09/2020,23:00,Ceara,Fortaleza,1,0,H,,,,,,
BRA,02/09/2020,23:15,Fluminense,Atletico GO,1,1,D,,,,,,
BRA,02/09/2020,23:15,Goias,Corinthians,1,2,A,,,,,,
BRA,03/09/2020,00:30,Athletico-PR,Bragantino,1,1,D,,,,,,
BRA,03/09/2020,00:30,Bahia,Flamengo RJ,3,5,A,,,,,,
BRA,03/09/2020,00:30,Botafogo RJ,Coritiba,0,0,D,,,,,,
BRA,03/09/2020,01:30,Palmeiras,Internacional,1,1,D,,,,,,
BRA,03/09/2020,01:30,Santos,Vasco,2,2,D,,,,,,
BRA,03/09/2020,23:00,Gremio,Sport Recife,1,2,A,,,,,,
BRA,04/09/2020,00:00,Atletico-MG,Sao Paulo,3,0,H,,,,,,
BRA,05/09/2020,21:00,Flamengo RJ,Fortaleza,2,1,H,,,,,,
BRA,05/09/2020,23:00,Corinthians,Botafogo RJ,2,2,D,,,,,,
BRA,06/09/2020,01:00,Ceara,Santos,0,1,A,,,,,,
BRA,06/09/2020,15:00,Bragantino,Palmeiras,1,2,A,,,,,,
