Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,B365H,B365D,B365A
BRA,19/05/2012,22:30,Palmeiras,Portuguesa,1,1,D,,,,,,
BRA,19/05/2012,22:30,Sport Recife,Flamengo RJ,1,1,D,,,,,,
BRA,20/05/2012,01:00,Figueirense,Nautico,2,1,H,,,,,,
BRA,20/05/2012,20:00,Botafogo RJ,Sao Paulo,4,2,H,,,,,,
BRA,20/05/2012,20:00,Corinthians,Fluminense,0,1,A,,,,,,
BRA,20/05/2012,20:00,Internacional,Coritiba,2,0,H,,,,,,
BRA,20/05/2012,20:00,Ponte Preta,Atletico-MG,0,1,A,,,,,,
BRA,20/05/2012,22:30,Bahia,Santos,0,0,D,,,,,,
BRA,20/05/2012,22:30,Cruzeiro,Atletico GO,0,0,D,,,,,,
BRA,20/05/2012,22:30,Vasco,Gremio,2,1,H,,,,,,
BRA,26/05/2012,22:30,Atletico GO,Ponte Preta,1,1,D,,,,,,
BRA,26/05/2012,22:30,Flamengo RJ,Internacional,3,3,D,,,,,,
BRA,26/05/2012,22:30,Portuguesa,Vasco,0,1,A,,,,,,
BRA,27/05/2012,01:00,Nautico,Cruzeiro,0,0,D,,,,,,
BRA,27/05/2012,20:00,Atletico-MG,Corinthians,1,0,H,,,,,,
BRA,27/05/2012,20:00,Coritiba,Botafogo RJ,2,3,A,,,,,,
BRA,27/05/2012,20:00,Santos,Sport Recife,0,0,D,,,,,,
BRA,27/05/2012,20:00,Sao Paulo,Bahia,1,0,H,,,,,,
BRA,27/05/2012,22:30,Fluminense,Figueirense,2,2,D,,,,,,
BRA,27/05/2012,22:30,Gremio,Palmeiras,1,0,H,,,,,,
BRA,06/06/2012,23:30,Atletico GO,Gremio,0,1,A,,,,,,
BRA,06/06/2012,23:30,Sport Recife,Palmeiras,2,1,H,,,,,,
BRA,07/06/2012,00:30,Atletico-MG,Bahia,1,1,D,,,,,,
BRA,07/06/2012,00:30,Coritiba,Portuguesa,2,0,H,,,,,,
BRA,07/06/2012,00:30,Vasco,Nautico,4,2,H,,,,,,
BRA,07/06/2012,01:50,Internacional,Sao Paulo,1,0,H,,,,,,
BRA,07/06/2012,01:50,Ponte Preta,Flamengo RJ,2,2,D,,,,,,
BRA,07/06/2012,01:50,Santos,Fluminense,1,1,D,,,,,,
BRA,08/06/2012,01:00,Botafogo RJ,Cruzeiro,2,3,A,,,,,,
BRA,08/06/2012,01:00,Corinthians,Figueirense,1,1,D,,,,,,
