Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,B365H,B365D,B365A
BRA,13/05/2017,20:00,Flamengo RJ,Atletico-MG,1,1,D,,,,,,
BRA,13/05/2017,23:00,Corinthians,Chapecoense-SC,1,1,D,,,,,,
BRA,14/05/2017,15:00,Fluminense,Santos,3,2,H,,,,,,
BRA,14/05/2017,20:00,Avai,Vitoria,0,0,D,,,,,,
BRA,14/05/2017,20:00,Bahia,Athletico-PR,6,2,H,,,,,,
BRA,14/05/2017,20:00,Cruzeiro,Sao Paulo,1,0,H,,,,,,
BRA,14/05/2017,20:00,Palmeiras,Vasco,4,0,H,,,,,,
BRA,14/05/2017,20:00,Ponte Preta,Sport Recife,4,0,H,,,,,,
BRA,14/05/2017,23:00,Gremio,Botafogo RJ,2,0,H,,,,,,
BRA,16/05/2017,00:00,Coritiba,Atletico GO,4,1,H,,,,,,
BRA,20/05/2017,20:00,Santos,Coritiba,1,0,H,,,,,,
BRA,20/05/2017,23:00,Atletico GO,Flamengo RJ,0,3,A,,,,,,
BRA,20/05/2017,23:00,Chapecoense-SC,Palmeiras,1,0,H,,,,,,
BRA,21/05/2017,15:00,Vasco,Bahia,2,1,H,,,,,,
BRA,21/05/2017,20:00,Atletico-MG,Fluminense,1,2,A,,,,,,
BRA,21/05/2017,20:00,Athletico-PR,Gremio,0,2,A,,,,,,
BRA,21/05/2017,20:00,Vitoria,Corinthians,0,1,A,,,,,,
BRA,21/05/2017,22:00,Botafogo RJ,Ponte Preta,2,0,H,,,,,,
BRA,21/05/2017,23:00,Sport Recife,Cruzeiro,1,1,D,,,,,,
BRA,23/05/2017,00:00,Sao Paulo,Avai,2,0,H,,,,,,
BRA,27/05/2017,20:00,Vasco,Fluminense,3,2,H,,,,,,
BRA,27/05/2017,23:00,Sao Paulo,Palmeiras,2,0,H,,,,,,
BRA,28/05/2017,01:00,Vitoria,Coritiba,0,1,A,,,,,,
BRA,28/05/2017,15:00,Atletico-MG,Ponte Preta,2,2,D,,,,,,
BRA,28/05/2017,20:00,Atletico GO,Corinthians,0,1,A,,,,,,
BRA,28/05/2017,20:00,Athletico-PR,Flamengo RJ,1,1,D,,,,,,
BRA,28/05/2017,20:00,Santos,Cruzeiro,0,1,A,,,,,,
BRA,28/05/2017,22:00,Sport Recife,Gremio,4,3,H,,,,,,
