Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,B365H,B365D,B365A
BRA,28/01/2026,22:00,Atletico-MG,Palmeiras,2,2,D,,,,,,
BRA,28/01/2026,22:00,Coritiba,Bragantino,0,1,A,,,,,,
BRA,28/01/2026,22:00,Internacional,Athletico-PR,0,1,A,,,,,,
BRA,28/01/2026,22:00,Vitoria,Remo,2,0,H,,,,,,
BRA,28/01/2026,22:30,Fluminense,Gremio,2,1,H,,,,,,
BRA,28/01/2026,23:00,Chapecoense-SC,Santos,4,2,H,,,,,,
BRA,28/01/2026,23:00,Corinthians,Bahia,1,2,A,,,,,,
BRA,29/01/2026,00:30,Sao Paulo,Flamengo RJ,2,1,H,,,,,,
BRA,29/01/2026,23:00,Mirassol,Vasco,2,1,H,,,,,,
BRA,30/01/2026,00:30,Botafogo RJ,Cruzeiro,4,0,H,,,,,,
BRA,04/02/2026,22:00,Bragantino,Atletico-MG,1,0,H,,,,,,
BRA,04/02/2026,22:00,Flamengo RJ,Internacional,1,1,D,,,,,,
BRA,04/02/2026,23:00,Remo,Mirassol,2,2,D,,,,,,
BRA,04/02/2026,23:00,Santos,Sao Paulo,1,1,D,,,,,,
BRA,05/02/2026,00:30,Gremio,Botafogo RJ,5,3,H,,,,,,
BRA,05/02/2026,00:30,Palmeiras,Vitoria,5,1,H,,,,,,
BRA,05/02/2026,22:00,Bahia,Fluminense,1,1,D,,,,,,
BRA,05/02/2026,23:00,Vasco,Chapecoense-SC,1,1,D,,,,,,
BRA,06/02/2026,00:30,Cruzeiro,Coritiba,1,2,A,,,,,,
BRA,11/02/2026,00:30,Vitoria,Flamengo RJ,1,2,A,,,,,,
BRA,11/02/2026,22:00,Chapecoense-SC,Coritiba,3,3,D,,,,,,
BRA,11/02/2026,22:00,Mirassol,Cruzeiro,2,2,D,,,,,,
BRA,11/02/2026,23:00,Atletico-MG,Remo,3,3,D,,,,,,
BRA,12/02/2026,00:30,Sao Paulo,Gremio,2,0,H,,,,,,
BRA,12/02/2026,00:30,Vasco,Bahia,0,1,A,,,,,,
BRA,12/02/2026,22:00,Athletico-PR,Santos,2,1,H,,,,,,
BRA,12/02/2026,22:30,Fluminense,Botafogo RJ,1,0,H,,,,,,
BRA,12/02/2026,23:00,Corinthians,Bragantino,2,0,H,,,,,,
BRA,13/02/2026,00:30,Internacional,Palmeiras,1,3,A,,,,,,
BRA,19/02/2026,22:30,Athletico-PR,Corinthians,0,1,A,,,,,,
BRA,25/02/2026,22:00,Bragantino,Athletico-PR,1,1,D,,,,,,
BRA,25/02/2026,22:00,Remo,Internacional,1,1,D,,,,,,
BRA,25/02/2026,22:30,Coritiba,Sao Paulo,0,1,A,,,,,,
BRA,25/02/2026,23:00,Cruzeiro,Corinthians,1,1,D,,,,,,
BRA,26/02/2026,00:30,Gremio,Atletico-MG,2,1,H,,,,,,
BRA,26/02/2026,00:30,Palmeiras,Fluminense,2,1,H,,,,,,
BRA,26/02/2026,22:00,Santos,Vasco,2,1,H,,,,,,
BRA,11/03/2026,00:30,Mirassol,Santos,2,2,D,,,,,,
BRA,11/03/2026,22:00,Atletico-MG,Internacional,1,0,H,,,,,,
BRA,11/03/2026,23:00,Bahia,Vitoria,1,1,D,,,,,,
BRA,12/03/2026,00:30,Corinthians,Coritiba,0,2,A,,,,,,
