Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,B365H,B365D,B365A
BRA,13/04/2024,22:30,Criciuma,Juventude,1,1,D,,,,,,
BRA,13/04/2024,22:30,Internacional,Bahia,2,1,H,,,,,,
BRA,14/04/2024,01:00,Fluminense,Bragantino,2,2,D,,,,,,
BRA,14/04/2024,01:00,Sao Paulo,Fortaleza,1,2,A,,,,,,
BRA,14/04/2024,20:00,Athletico-PR,Cuiaba,4,0,H,,,,,,
BRA,14/04/2024,20:00,Atletico GO,Flamengo RJ,1,2,A,,,,,,
BRA,14/04/2024,20:00,Corinthians,Atletico-MG,0,0,D,,,,,,
BRA,14/04/2024,20:00,Vasco,Gremio,2,1,H,,,,,,
BRA,14/04/2024,21:00,Cruzeiro,Botafogo RJ,3,2,H,,,,,,
BRA,14/04/2024,22:30,Vitoria,Palmeiras,0,1,A,,,,,,
BRA,17/04/2024,01:30,Bahia,Fluminense,2,1,H,,,,,,
BRA,17/04/2024,23:00,Bragantino,Vasco,2,1,H,,,,,,
BRA,17/04/2024,23:00,Gremio,Athletico-PR,2,0,H,,,,,,
BRA,18/04/2024,00:00,Atletico-MG,Criciuma,1,1,D,,,,,,
BRA,18/04/2024,00:00,Fortaleza,Cruzeiro,1,1,D,,,,,,
BRA,18/04/2024,00:00,Juventude,Corinthians,2,0,H,,,,,,
BRA,18/04/2024,00:00,Palmeiras,Internacional,0,1,A,,,,,,
BRA,18/04/2024,01:30,Flamengo RJ,Sao Paulo,2,1,H,,,,,,
BRA,19/04/2024,01:30,Botafogo RJ,Atletico GO,1,0,H,,,,,,
BRA,20/04/2024,20:00,Fluminense,Vasco,2,1,H,,,,,,
BRA,20/04/2024,22:30,Bragantino,Corinthians,1,0,H,,,,,,
BRA,20/04/2024,22:30,Gremio,Cuiaba,1,0,H,,,,,,
BRA,21/04/2024,01:00,Atletico-MG,Cruzeiro,3,0,H,,,,,,
BRA,21/04/2024,20:00,Athletico-PR,Internacional,1,0,H,,,,,,
BRA,21/04/2024,20:00,Palmeiras,Flamengo RJ,0,0,D,,,,,,
BRA,21/04/2024,20:00,Vitoria,Bahia,2,2,D,,,,,,
BRA,21/04/2024,22:30,Atletico GO,Sao Paulo,0,3,A,,,,,,
BRA,21/04/2024,22:30,Botafogo RJ,Juventude,5,1,H,,,,,,
BRA,27/04/2024,20:00,Vasco,Criciuma,0,4,A,,,,,,
BRA,27/04/2024,22:30,Cuiaba,Atletico-MG,0,3,A,,,,,,
BRA,28/04/2024,01:00,Bahia,Gremio,1,0,H,,,,,,
BRA,28/04/2024,15:00,Flamengo RJ,Botafogo RJ,0,2,A,,,,,,
BRA,28/04/2024,20:00,Corinthians,Fluminense,3,0,H,,,,,,
BRA,28/04/2024,20:00,Cruzeiro,Vitoria,3,1,H,,,,,,
BRA,28/04/2024,22:30,Fortaleza,Bragantino,1,1,D,,,,,,
BRA,28/04/2024,22:30,Juventude,Athletico-PR,1,1,D,,,,,,
BRA,29/04/2024,00:00,Internacional,Atletico GO,1,1,D,,,,,,
BRA,30/04/2024,00:00,Sao Paulo,Palmeiras,0,0,D,,,,,,
BRA,04/05/2024,20:00,Fluminense,Atletico-MG,2,2,D,,,,,,
BRA,04/05/2024,22:30,Bragantino,Flamengo RJ,1,1,D,,,,,,
BRA,05/05/2024,01:00,Corinthians,Fortaleza,0,0,D,,,,,,
BRA,05/05/2024,20:00,Athletico-PR,Vasco,1,0,H,,,,,,
BRA,05/05/2024,20:00,Vitoria,Sao Paulo,1,3,A,,,,,,
BRA,05/05/2024,22:30,Botafogo RJ,Bahia,1,2,A,,,,,,
BRA,05/05/2024,22:30,Cuiaba,Palmeiras,0,2,A,,,,,,
BRA,11/05/2024,20:00,Flamengo RJ,Corinthians,2,0,H,,,,,,
BRA,12/05/2024,20:00,Atletico GO,Cruzeiro,0,1,A,,,,,,
BRA,12/05/2024,20:00,Fortaleza,Botafogo RJ,1,1,D,,,,,,
BRA,12/05/2024,20:00,Palmeiras,Athletico-PR,0,2,A,,,,,,
BRA,12/05/2024,22:30,Bahia,Bragantino,1,0,H,,,,,,
BRA,12/05/2024,22:30,Vasco,Vitoria,2,1,H,,,,,,
BRA,14/05/2024,00:00,Sao Paulo,Fluminense,2,1,H,,,,,,
BRA,01/06/2024,20:00,Gremio,Bragantino,0,2,A,,,,,,
BRA,01/06/2024,20:00,Vitoria,Atletico GO,0,2,A,,,,,,
BRA,01/06/2024,22:30,Cuiaba,Internacional,0,1,A,,,,,,
BRA,01/06/2024,22:30,Fluminense,Juventude,1,1,D,,,,,,
BRA,02/06/2024,01:00,Corinthians,Botafogo RJ,0,1,A,,,,,,
BRA,02/06/2024,20:00,Atletico-MG,Bahia,1,1,D,,,,,,
BRA,02/06/2024,20:00,Criciuma,Palmeiras,1,2,A,,,,,,
BRA,02/06/2024,20:00,Vasco,Flamengo RJ,1,6,A,,,,,,
BRA,02/06/2024,22:30,Fortaleza,Athletico-PR,1,0,H,,,,,,
BRA,02/06/2024,22:30,Sao Paulo,Cruzeiro,2,0,H,,,,,,
BRA,05/06/2024,23:00,Juventude,Atletico GO,1,0,H,,,,,,
BRA,06/06/2024,00:00,Cuiaba,Vitoria,0,0,D,,,,,,
BRA,09/06/2024,20:00,Criciuma,Cuiaba,2,5,A,,,,,,
BRA,11/06/2024,23:00,Atletico GO,Corinthians,2,2,D,,,,,,
BRA,11/06/2024,23:00,Juventude,Vitoria,1,1,D,,,,,,
BRA,12/06/2024,00:00,Botafogo RJ,Fluminense,1,0,H,,,,,,
BRA,12/06/2024,01:30,Bragantino,Atletico-MG,1,2,A,,,,,,
BRA,13/06/2024,23:00,Cruzeiro,Cuiaba,2,1,H,,,,,,
BRA,14/06/2024,00:00,Athletico-PR,Criciuma,3,1,H,,,,,,
BRA,14/06/2024,00:00,Flamengo RJ,Gremio,2,1,H,,,,,,
BRA,14/06/2024,00:00,Internacional,Sao Paulo,0,0,D,,,,,,
BRA,14/06/2024,01:30,Bahia,Fortaleza,1,0,H,,,,,,
BRA,14/06/2024,01:30,Palmeiras,Vasco,2,0,H,,,,,,
BRA,15/06/2024,22:30,Bragantino,Juventude,2,1,H,,,,,,
