Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,B365H,B365D,B365A
BRA,09/05/2015,22:30,Chapecoense-SC,Coritiba,2,1,H,,,,,,
BRA,09/05/2015,22:30,Palmeiras,Atletico-MG,2,2,D,,,,,,
BRA,10/05/2015,01:00,Fluminense,Joinville,1,0,H,,,,,,
BRA,10/05/2015,15:00,Gremio,Ponte Preta,3,3,D,,,,,,
BRA,10/05/2015,20:00,Athletico-PR,Internacional,3,0,H,,,,,,
BRA,10/05/2015,20:00,Cruzeiro,Corinthians,0,1,A,,,,,,
BRA,10/05/2015,20:00,Sao Paulo,Flamengo RJ,2,1,H,,,,,,
BRA,10/05/2015,20:00,Sport Recife,Figueirense,4,1,H,,,,,,
BRA,10/05/2015,22:30,Avai,Santos,1,1,D,,,,,,
BRA,10/05/2015,22:30,Vasco,Goias,0,0,D,,,,,,
BRA,16/05/2015,22:30,Coritiba,Gremio,2,0,H,,,,,,
BRA,16/05/2015,22:30,Goias,Athletico-PR,2,0,H,,,,,,
BRA,17/05/2015,01:00,Corinthians,Chapecoense-SC,1,0,H,,,,,,
BRA,17/05/2015,15:00,Figueirense,Vasco,0,0,D,,,,,,
BRA,17/05/2015,20:00,Atletico-MG,Fluminense,4,1,H,,,,,,
BRA,17/05/2015,20:00,Flamengo RJ,Sport Recife,2,2,D,,,,,,
BRA,17/05/2015,20:00,Santos,Cruzeiro,1,0,H,,,,,,
BRA,17/05/2015,22:30,Internacional,Avai,1,0,H,,,,,,
BRA,17/05/2015,22:30,Joinville,Palmeiras,0,0,D,,,,,,
BRA,17/05/2015,22:30,Ponte Preta,Sao Paulo,1,0,H,,,,,,
BRA,23/05/2015,22:30,Sao Paulo,Joinville,3,0,H,,,,,,
BRA,23/05/2015,22:30,Vasco,Internacional,1,1,D,,,,,,
BRA,24/05/2015,01:00,Gremio,Figueirense,1,0,H,,,,,,
BRA,24/05/2015,15:00,Palmeiras,Goias,0,1,A,,,,,,
BRA,24/05/2015,20:00,Athletico-PR,Atletico-MG,1,0,H,,,,,,
BRA,24/05/2015,20:00,Avai,Flamengo RJ,2,1,H,,,,,,
BRA,24/05/2015,20:00,Chapecoense-SC,Santos,1,0,H,,,,,,
BRA,24/05/2015,20:00,Fluminense,Corinthians,0,0,D,,,,,,
BRA,24/05/2015,22:30,Cruzeiro,Ponte Preta,1,1,D,,,,,,
BRA,24/05/2015,22:30,Sport Recife,Coritiba,1,0,H,,,,,,
BRA,30/05/2015,22:30,Coritiba,Avai,1,2,A,,,,,,
BRA,30/05/2015,22:30,Ponte Preta,Chapecoense-SC,3,1,H,,,,,,
BRA,31/05/2015,01:00,Joinville,Athletico-PR,1,2,A,,,,,,
