Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,B365H,B365D,B365A
BRA,27/04/2019,20:00,Sao Paulo,Botafogo RJ,2,0,H,,,,,,
BRA,27/04/2019,23:00,Atletico-MG,Avai,2,1,H,,,,,,
BRA,27/04/2019,23:00,Chapecoense-SC,Internacional,2,0,H,,,,,,
BRA,28/04/2019,01:00,Flamengo RJ,Cruzeiro,3,1,H,,,,,,
BRA,28/04/2019,15:00,Gremio,Santos,1,2,A,,,,,,
BRA,28/04/2019,20:00,Athletico-PR,Vasco,4,1,H,,,,,,
BRA,28/04/2019,20:00,Bahia,Corinthians,3,2,H,,,,,,
BRA,28/04/2019,20:00,Ceara,CSA,4,0,H,,,,,,
BRA,28/04/2019,23:00,Fluminense,Goias,0,1,A,,,,,,
BRA,28/04/2019,23:00,Palmeiras,Fortaleza,4,0,H,,,,,,
BRA,01/05/2019,20:00,Corinthians,Chapecoense-SC,1,0,H,,,,,,
BRA,01/05/2019,20:00,CSA,Palmeiras,1,1,D,,,,,,
BRA,01/05/2019,20:00,Internacional,Flamengo RJ,2,1,H,,,,,,
BRA,01/05/2019,23:15,Avai,Gremio,1,1,D,,,,,,
BRA,01/05/2019,23:15,Cruzeiro,Ceara,1,0,H,,,,,,
BRA,02/05/2019,01:30,Fortaleza,Athletico-PR,2,1,H,,,,,,
BRA,02/05/2019,01:30,Goias,Sao Paulo,1,2,A,,,,,,
BRA,02/05/2019,01:30,Vasco,Atletico-MG,1,2,A,,,,,,
BRA,02/05/2019,23:15,Santos,Fluminense,2,1,H,,,,,,
BRA,03/05/2019,00:00,Botafogo RJ,Bahia,3,2,H,,,,,,
BRA,04/05/2019,23:00,Palmeiras,Internacional,1,0,H,,,,,,
BRA,04/05/2019,23:00,Vasco,Corinthians,1,1,D,,,,,,
BRA,05/05/2019,01:00,Ceara,Atletico-MG,1,2,A,,,,,,
BRA,05/05/2019,15:00,Chapecoense-SC,Athletico-PR,1,1,D,,,,,,
BRA,05/05/2019,20:00,Botafogo RJ,Fortaleza,1,0,H,,,,,,
BRA,05/05/2019,20:00,Cruzeiro,Goias,2,1,H,,,,,,
BRA,05/05/2019,20:00,CSA,Santos,0,0,D,,,,,,
BRA,05/05/2019,20:00,Sao Paulo,Flamengo RJ,1,1,D,,,,,,
BRA,05/05/2019,23:00,Bahia,Avai,1,0,H,,,,,,
BRA,05/05/2019,23:00,Gremio,Fluminense,4,5,A,,,,,,
BRA,11/05/2019,20:00,Fluminense,Botafogo RJ,0,1,A,,,,,,
BRA,11/05/2019,23:00,Corinthians,Gremio,0,0,D,,,,,,
BRA,12/05/2019,01:00,Goias,Ceara,2,1,H,,,,,,
BRA,12/05/2019,15:00,Flamengo RJ,Chapecoense-SC,2,1,H,,,,,,
BRA,12/05/2019,20:00,Atletico-MG,Palmeiras,0,2,A,,,,,,
BRA,12/05/2019,20:00,Internacional,Cruzeiro,3,1,H,,,,,,
BRA,12/05/2019,20:00,Santos,Vasco,3,0,H,,,,,,
BRA,12/05/2019,23:00,Athletico-PR,Bahia,1,0,H,,,,,,
BRA,12/05/2019,23:00,Avai,CSA,0,0,D,,,,,,
BRA,12/05/2019,23:00,Fortaleza,Sao Paulo,0,1,A,,,,,,
BRA,18/05/2019,22:00,Fluminense,Cruzeiro,4,1,H,,,,,,
BRA,18/05/2019,23:00,Atletico-MG,Flamengo RJ,2,1,H,,,,,,
BRA,18/05/2019,23:00,Palmeiras,Santos,4,0,H,,,,,,
BRA,19/05/2019,15:00,Sao Paulo,Bahia,0,0,D,,,,,,
BRA,19/05/2019,20:00,Athletico-PR,Corinthians,0,2,A,,,,,,
BRA,19/05/2019,20:00,Chapecoense-SC,Fortaleza,1,3,A,,,,,,
BRA,19/05/2019,20:00,Goias,Botafogo RJ,1,0,H,,,,,,
BRA,19/05/2019,20:00,Internacional,CSA,2,0,H,,,,,,
BRA,19/05/2019,23:00,Ceara,Gremio,2,1,H,,,,,,
BRA,19/05/2019,23:00,Vasco,Avai,1,1,D,,,,,,
BRA,25/05/2019,20:00,Botafogo RJ,Palmeiras,0,1,A,,,,,,
BRA,25/05/2019,23:00,Gremio,Atletico-MG,1,0,H,,,,,,
BRA,26/05/2019,20:00,Flamengo RJ,Athletico-PR,3,2,H,,,,,,
BRA,26/05/2019,20:00,Santos,Internacional,0,0,D,,,,,,
BRA,26/05/2019,23:00,Bahia,Fluminense,3,2,H,,,,,,
BRA,26/05/2019,23:00,Corinthians,Sao Paulo,1,0,H,,,,,,
BRA,26/05/2019,23:00,Cruzeiro,Chapecoense-SC,1,2,A,,,,,,
BRA,26/05/2019,23:00,Fortaleza,Vasco,1,1,D,,,,,,
BRA,28/05/2019,00:00,Avai,Ceara,1,2,A,,,,,,
BRA,28/05/2019,00:00,CSA,Goias,1,0,H,,,,,,
BRA,01/06/2019,20:00,Flamengo RJ,Fortaleza,2,0,H,,,,,,
BRA,01/06/2019,23:00,Bahia,Gremio,1,0,H,,,,,,
BRA,02/06/2019,15:00,Botafogo RJ,Vasco,1,0,H,,,,,,
BRA,02/06/2019,20:00,Athletico-PR,Fluminense,3,0,H,,,,,,
BRA,02/06/2019,20:00,Ceara,Santos,0,1,A,,,,,,
BRA,02/06/2019,20:00,Sao Paulo,Cruzeiro,1,1,D,,,,,,
BRA,02/06/2019,23:00,Atletico-MG,CSA,4,0,H,,,,,,
BRA,02/06/2019,23:00,Chapecoense-SC,Palmeiras,1,2,A,,,,,,
BRA,02/06/2019,23:00,Internacional,Avai,2,0,H,,,,,,
BRA,08/06/2019,00:30,Vasco,Internacional,2,1,H,,,,,,
BRA,08/06/2019,20:30,Palmeiras,Athletico-PR,1,0,H,,,,,,
BRA,08/06/2019,23:00,Cruzeiro,Corinthians,0,0,D,,,,,,
BRA,08/06/2019,23:00,Gremio,Fortaleza,1,0,H,,,,,,
BRA,08/06/2019,23:30,Ceara,Bahia,0,0,D,,,,,,
BRA,09/06/2019,01:00,Avai,Sao Paulo,0,0,D,,,,,,
BRA,09/06/2019,23:00,CSA,Botafogo RJ,1,2,A,,,,,,
BRA,09/06/2019,23:00,Fluminense,Flamengo RJ,0,0,D,,,,,,
BRA,09/06/2019,23:00,Santos,Atletico-MG,3,1,H,,,,,,
BRA,11/06/2019,00:00,Goias,Chapecoense-SC,3,1,H,,,,,,
BRA,12/06/2019,23:15,Botafogo RJ,Gremio,0,1,A,,,,,,
BRA,13/06/2019,01:00,Fortaleza,Cruzeiro,2,1,H,,,,,,
BRA,13/06/2019,01:30,CSA,Flamengo RJ,0,2,A,,,,,,
BRA,13/06/2019,01:30,Internacional,Bahia,3,1,H,,,,,,
BRA,13/06/2019,01:30,Santos,Corinthians,1,0,H,,,,,,
BRA,13/06/2019,23:15,Vasco,Ceara,1,0,H,,,,,,
BRA,14/06/2019,00:00,Atletico-MG,Sao Paulo,1,1,D,,,,,,
BRA,14/06/2019,00:00,Chapecoense-SC,Fluminense,1,1,D,,,,,,
BRA,14/06/2019,00:00,Goias,Athletico-PR,2,1,H,,,,,,
BRA,14/06/2019,00:00,Palmeiras,Avai,2,0,H,,,,,,
BRA,13/07/2019,21:00,Fortaleza,Avai,2,0,H,,,,,,
BRA,13/07/2019,21:00,Gremio,Vasco,2,1,H,,,,,,
BRA,13/07/2019,23:00,Bahia,Santos,0,1,A,,,,,,
BRA,13/07/2019,23:00,Sao Paulo,Palmeiras,1,1,D,,,,,,
BRA,14/07/2019,15:00,Flamengo RJ,Goias,6,1,H,,,,,,
BRA,14/07/2019,20:00,Athletico-PR,Internacional,1,0,H,,,,,,
BRA,14/07/2019,20:00,Corinthians,CSA,1,0,H,,,,,,
BRA,14/07/2019,20:00,Cruzeiro,Botafogo RJ,0,0,D,,,,,,
BRA,14/07/2019,23:00,Chapecoense-SC,Atletico-MG,1,2,A,,,,,,
BRA,16/07/2019,00:00,Fluminense,Ceara,1,1,D,,,,,,
BRA,20/07/2019,15:00,Vasco,Fluminense,2,1,H,,,,,,
BRA,20/07/2019,21:00,Bahia,Cruzeiro,0,0,D,,,,,,
BRA,20/07/2019,23:00,Ceara,Palmeiras,2,0,H,,,,,,
BRA,20/07/2019,23:00,CSA,Athletico-PR,0,4,A,,,,,,
